"p","n","1.1_banding","1.1_sample","1.1_tapering","1.2_banding","1.2_sample","1.2_tapering","1.3_banding","1.3_sample","1.3_tapering","1.4_banding","1.4_sample","1.4_tapering","1.5_banding","1.5_sample","1.5_tapering"
100,250,0.92,1,0.93,0.89,1,0.95,0.91,1,0.96,0.9,1,0.98,0.95,1,0.99
100,500,1.03,1,0.94,0.96,1,0.95,0.93,1,0.97,0.92,1,0.98,0.95,1,0.99
100,1000,1.21,1,0.95,1.1,1,0.96,0.98,1,0.97,0.95,1,0.98,0.96,1,0.99
100,2000,1.5,1,0.99,1.33,1,0.97,1.07,1,0.97,1.01,1,0.98,0.98,1,0.99
100,3000,1.75,1,1.03,1.53,1,0.98,1.15,1,0.97,1.07,1,0.98,0.99,1,0.99
400,250,0.67,1,0.67,0.61,1,0.67,0.61,1,0.69,0.59,1,0.72,0.63,1,0.75
400,500,0.82,1,0.73,0.72,1,0.7,0.66,1,0.71,0.63,1,0.73,0.65,1,0.75
400,1000,1.06,1,0.85,0.9,1,0.76,0.76,1,0.74,0.69,1,0.74,0.68,1,0.76
400,2000,1.42,1,1.04,1.18,1,0.87,0.93,1,0.79,0.81,1,0.77,0.73,1,0.77
400,3000,1.71,1,1.2,1.41,1,0.96,1.06,1,0.84,0.92,1,0.79,0.79,1,0.78
900,250,0.52,1,0.52,0.46,1,0.51,0.45,1,0.52,0.43,1,0.54,0.46,1,0.56
900,500,0.66,1,0.59,0.56,1,0.55,0.5,1,0.54,0.46,1,0.55,0.47,1,0.56
900,1000,0.87,1,0.72,0.72,1,0.62,0.6,1,0.57,0.53,1,0.57,0.5,1,0.57
900,2000,1.18,1,0.92,0.96,1,0.75,0.75,1,0.64,0.64,1,0.6,0.56,1,0.59
900,3000,1.42,1,1.09,1.16,1,0.85,0.87,1,0.71,0.73,1,0.64,0.61,1,0.61
1600,250,0.43,1,0.42,0.37,1,0.41,0.36,1,0.41,0.34,1,0.42,0.36,1,0.44
1600,500,0.55,1,0.5,0.46,1,0.45,0.41,1,0.43,0.37,1,0.43,0.37,1,0.45
1600,1000,0.73,1,0.62,0.6,1,0.52,0.49,1,0.47,0.43,1,0.45,0.4,1,0.46
1600,2000,1,1,0.81,0.8,1,0.64,0.62,1,0.54,0.52,1,0.49,0.45,1,0.48
1600,3000,1.21,1,0.96,0.97,1,0.74,0.73,1,0.6,0.6,1,0.53,0.5,1,0.49
2500,250,0.36,1,0.36,0.31,1,0.34,0.3,1,0.34,0.28,1,0.35,0.29,1,0.36
2500,500,0.47,1,0.43,0.39,1,0.38,0.34,1,0.36,0.31,1,0.36,0.31,1,0.37
2500,1000,0.63,1,0.54,0.51,1,0.45,0.41,1,0.4,0.36,1,0.38,0.33,1,0.38
2500,2000,0.86,1,0.71,0.69,1,0.56,0.53,1,0.46,0.44,1,0.42,0.38,1,0.4
2500,3000,1.04,1,0.85,0.83,1,0.65,0.62,1,0.52,0.51,1,0.45,0.42,1,0.42
3600,250,0.31,1,0.31,0.27,1,0.29,0.25,1,0.29,0.24,1,0.3,0.25,1,0.31
3600,500,0.41,1,0.38,0.34,1,0.33,0.29,1,0.31,0.26,1,0.31,0.26,1,0.32
3600,1000,0.55,1,0.48,0.44,1,0.39,0.36,1,0.35,0.31,1,0.33,0.28,1,0.32
3600,2000,0.76,1,0.64,0.6,1,0.5,0.46,1,0.41,0.38,1,0.36,0.33,1,0.34
3600,3000,0.92,1,0.77,0.73,1,0.58,0.54,1,0.46,0.44,1,0.39,0.36,1,0.36
